,Link,Dealer/private,Price_kr,Model_year,First_registration,Mileage_km,Range_km,BatteryCapacity_kWh,Horsepower,Acceleration_sec,Color,AWD/RWD
4158,https://www.bilbasen.dk/brugt/bil/vw/id4/pure-5d/6158987,True,229800,2021,8/2021,25000,343,52.0,148,10.9,Blåmetal,False
4172,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6111163,True,334900,2022,1/2022,50000,514,76.6,204,8.5,Hvidmetal,False
4184,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6153876,True,284500,2022,5/2022,37000,514,76.6,204,8.5,Blåmetal,False
4186,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6083541,True,359800,2021,12/2021,34000,479,77.0,299,6.2,Sølvmetal,True
4212,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6065091,True,349000,2021,12/2021,38000,479,77.0,299,6.2,Hvid,True
4218,https://www.bilbasen.dk/brugt/bil/vw/id4/1st-pro-5d/6158928,True,264600,2021,3/2021,42000,499,76.6,204,8.5,Koks,False
4224,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/6015015,True,279900,2021,8/2021,46000,490,77.0,204,8.5,Hvid,False
4230,https://www.bilbasen.dk/brugt/bil/vw/id4/tech-performance-5d/6145070,True,319400,2022,1/2022,50000,507,76.6,204,8.5,Koksmetal,False
4274,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6155938,True,249900,2021,6/2021,49000,517,76.6,204,8.5,Grå,False
4279,https://www.bilbasen.dk/brugt/bil/vw/id4/gtx-4motion-5d/6039331,True,339900,2021,7/2021,32500,479,77.0,299,6.2,Sølvmetal,True
4292,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-5d/5546566,True,279900,2021,3/2021,25000,490,77.0,204,8.5,Koksmetal,False
4301,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-max-5d/5977630,True,314999,2021,1/2021,35800,490,77.0,204,8.5,Blåmetal,False
4304,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-max-5d/6055624,True,299900,2021,4/2021,35000,490,77.0,204,8.5,Hvid,False
